date,g,M,R,p,E
2009Q1,-7.86017,7.48258,22.57,2.04397,-7.69336
2009Q2,9.00491,9.00851,22.04,1.55756,8.99258
2009Q3,17.43278,9.74854,21.46,1.36258,1.68812
2009Q4,-8.4419,4.42713,20.27,4.16168,-2.20705
2010Q1,-7.4023,2.11322,17.03,1.30234,-8.23219
2010Q2,8.17294,10.50304,16.86,1.54737,2.82101
2010Q3,17.36066,12.53539,16.45,0.70747,-1.70515
2010Q4,-6.60355,15.44391,16.47,3.87941,1.1631
2011Q1,-10.64644,-5.7299,15.23,1.73858,-1.80641
2011Q2,12.04212,21.05758,17.06,2.98178,9.33746
2011Q3,13.67589,-3.55383,19.1,1.83187,3.10847
2011Q4,-7.08096,5.85556,19.79,2.94087,-2.95169
2012Q1,-8.66138,-8.74978,18.62,2.19125,-3.18208
2012Q2,7.60293,10.41799,18.36,2.22477,-5.02402
2012Q3,12.98212,0.27061,18.1,-0.36988,-3.83986
2012Q4,-6.17502,6.542,17.66,3.92575,-7.59056
2013Q1,-6.1853,0.06862,16.93,2.80255,0.96468
2013Q2,3.1943,4.94639,18.46,3.65878,5.06361
2013Q3,11.03336,7.5139,18.97,0.81536,-4.20816
2013Q4,-13.45799,-4.92716,19.61,3.25439,27.31532
2014Q1,-14.01542,4.5283,12.47,0.428,7.58292
2014Q2,11.63203,3.93415,12.38,1.10474,-5.10594
2014Q3,17.04469,7.75755,9.57,0.46858,-4.58512
2014Q4,-5.77617,5.85772,9.76,3.62525,-0.82433
2015Q1,-8.5452,-0.00535,9.01,3.82862,1.36603
2015Q2,9.48093,9.20463,9.53,1.03733,2.00753
2015Q3,11.58856,6.38369,8.89,-0.29976,-1.4264
2015Q4,-2.13872,11.53458,8.61,2.71347,-3.46272
2016Q1,-5.96523,-2.30684,8.26,0.84705,7.74997
2016Q2,6.44242,8.07331,9.41,2.53252,-0.75678
2016Q3,11.01816,3.16295,9.02,0.1557,10.73665
2016Q4,-5.2731,1.80223,11.42,5.43926,6.10669
2017Q1,-7.90947,-7.37466,10.38,2.04403,-2.2305
2017Q2,6.09568,9.87278,11.13,1.53679,0.42027
2017Q3,9.66532,5.59123,8.96,-0.18596,-0.11887
2017Q4,-5.41526,14.04025,8.17,3.24007,-0.53836
2018Q1,-6.28828,-0.54081,7.15,2.46206,-0.32802
2018Q2,7.6899,11.61834,7.52,1.31861,3.1766
2018Q3,9.27271,6.50898,8.87,1.05658,7.0719
2018Q4,-5.17271,4.74954,8.91,2.44555,2.99053
2019Q1,-5.74659,1.86737,11.65,2.97119,9.3988
2019Q2,4.83261,3.75185,9.92,2.62315,-4.70234
2019Q3,8.63734,4.88574,9.24,0.905,2.36106
2019Q4,-4.04801,0.88319,10.13,1.99915,4.61029
2020Q1,-6.24219,3.9461,10,1.74652,8.69768
2020Q2,6.12913,9.1519,10.52,2.88025,8.48288
2020Q3,8.83593,12.75621,11.21,0.4976,6.61561
2020Q4,-2.38791,-3.12339,11.93,2.81893,2.23876
